epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.929,1.10939,4.22775,1.66962,0.02323,0.77959,0.04515,0.03301,0.92862,4.50291,1.80801,0.000103376,0.000103376,0.000103376
2,1110.01,0.89069,3.64342,1.45637,0.23534,0.5673,0.05957,0.04544,0.97387,4.28301,1.84121,0.000139165,0.000139165,0.000139165
3,1649.87,0.8813,3.36316,1.43324,0.24015,0.35846,0.0836,0.06583,0.8793,3.98458,1.72373,0.000106095,0.000106095,0.000106095
