epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1478.62,0.62919,1.54572,1.19091,0.43515,0.68163,0.59191,0.49827,0.69627,1.38602,1.42357,0.00014567,0.00014567,0.00014567
29,1530.76,0.6402,1.49691,1.20099,0.50759,0.70828,0.63007,0.52664,0.69843,1.26106,1.44413,0.000139473,0.000139473,0.000139473
30,1585.56,0.62309,1.48123,1.18403,0.59421,0.57445,0.64646,0.54555,0.67243,1.28519,1.40482,0.000133275,0.000133275,0.000133275
31,1635.84,0.6221,1.43911,1.18871,0.45511,0.68561,0.61423,0.51369,0.68943,1.37999,1.43078,0.000127078,0.000127078,0.000127078
32,1690.07,0.61504,1.41503,1.17165,0.50558,0.68766,0.67262,0.57099,0.6716,1.24254,1.39433,0.000120881,0.000120881,0.000120881
33,1740.88,0.60861,1.38665,1.1734,0.55824,0.68764,0.67757,0.57631,0.64885,1.19561,1.36105,0.000114683,0.000114683,0.000114683
34,1789.8,0.60096,1.35345,1.16748,0.63864,0.61613,0.68546,0.58118,0.67129,1.20771,1.39347,0.000108486,0.000108486,0.000108486
35,1839.76,0.59567,1.33102,1.16805,0.63414,0.6658,0.69035,0.58981,0.64632,1.16719,1.36552,0.000102288,0.000102288,0.000102288
36,1893.88,0.58502,1.30543,1.15741,0.64973,0.66678,0.71615,0.60465,0.65172,1.13593,1.37149,9.6091e-05,9.6091e-05,9.6091e-05
37,1943.87,0.58168,1.28733,1.15228,0.61671,0.65566,0.72883,0.621,0.65685,1.10714,1.37084,8.98936e-05,8.98936e-05,8.98936e-05
38,1992.22,0.59234,1.25608,1.16194,0.67183,0.67025,0.7345,0.62195,0.64805,1.08862,1.36472,8.36962e-05,8.36962e-05,8.36962e-05
39,2041.5,0.5728,1.24225,1.14717,0.71487,0.66976,0.75992,0.65003,0.6291,1.09162,1.34398,7.74988e-05,7.74988e-05,7.74988e-05
40,2095.22,0.56821,1.21569,1.13872,0.63756,0.71902,0.7529,0.64739,0.62382,1.04422,1.34375,7.13014e-05,7.13014e-05,7.13014e-05
41,2153.31,0.45257,1.20107,1.156,0.62168,0.69405,0.7428,0.63666,0.64401,1.10363,1.35889,6.5104e-05,6.5104e-05,6.5104e-05
42,2202.43,0.43821,1.06143,1.14469,0.64055,0.7138,0.76898,0.65955,0.62042,1.02288,1.34743,5.89066e-05,5.89066e-05,5.89066e-05
43,2252.18,0.42672,0.99493,1.11706,0.6928,0.72519,0.81096,0.69628,0.6155,0.94163,1.32025,5.27092e-05,5.27092e-05,5.27092e-05
44,2304.54,0.40877,0.94567,1.10857,0.79714,0.65791,0.80196,0.68961,0.60741,1.00779,1.33161,4.65118e-05,4.65118e-05,4.65118e-05
45,2354.7,0.40945,0.92082,1.11557,0.6706,0.77743,0.83106,0.71388,0.62718,0.91706,1.34036,4.03144e-05,4.03144e-05,4.03144e-05
46,2403.98,0.40315,0.89206,1.10768,0.72212,0.74144,0.82362,0.71039,0.59642,0.93091,1.30909,3.4117e-05,3.4117e-05,3.4117e-05
47,2454.4,0.39713,0.89688,1.08964,0.819,0.6837,0.82881,0.71744,0.5884,0.92063,1.30606,2.79196e-05,2.79196e-05,2.79196e-05
48,2508.76,0.3859,0.82932,1.08107,0.70526,0.79945,0.84959,0.74231,0.58171,0.85239,1.29011,2.17222e-05,2.17222e-05,2.17222e-05
49,2558.2,0.3822,0.83351,1.08435,0.71753,0.80795,0.85724,0.74603,0.58851,0.8619,1.29851,1.55248e-05,1.55248e-05,1.55248e-05
50,2606.59,0.37904,0.82526,1.08126,0.72073,0.80042,0.85197,0.74784,0.5765,0.8442,1.28667,9.3274e-06,9.3274e-06,9.3274e-06
