epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5762,1.1264,4.24531,1.68276,0.02695,0.70953,0.04164,0.02806,0.93964,3.46525,1.8075,0.000103376,0.000103376,0.000103376
2,51.4171,0.8934,3.57602,1.44974,0.18175,0.49596,0.07307,0.0534,0.94136,2.73692,1.7832,0.000203597,0.000203597,0.000203597
3,75.922,0.89372,3.23183,1.43498,0.23878,0.29658,0.08432,0.06387,0.91633,2.6212,1.75223,0.000299686,0.000299686,0.000299686
4,100.609,0.87131,3.00624,1.39699,0.25194,0.33461,0.12478,0.09262,0.87186,2.4757,1.67731,0.000294408,0.000294408,0.000294408
5,124.709,0.85667,2.85158,1.38031,0.28446,0.5064,0.16601,0.12795,0.83377,2.51823,1.60539,0.00028821,0.00028821,0.00028821
6,149.079,0.80541,2.66153,1.34288,0.28028,0.41951,0.18682,0.1476,0.81454,2.23615,1.60927,0.000282013,0.000282013,0.000282013
7,173.413,0.80906,2.57351,1.34067,0.21543,0.44427,0.183,0.14503,0.81736,2.46597,1.58516,0.000275816,0.000275816,0.000275816
8,197.599,0.7884,2.45574,1.31287,0.27328,0.48071,0.25661,0.20526,0.81344,2.01056,1.55177,0.000269618,0.000269618,0.000269618
9,222.766,0.78307,2.37321,1.31319,0.3094,0.50113,0.28517,0.23188,0.79566,1.95316,1.57277,0.000263421,0.000263421,0.000263421
10,247.15,0.77644,2.30863,1.3088,0.39028,0.47279,0.33591,0.26899,0.79078,1.8805,1.58223,0.000257223,0.000257223,0.000257223
11,271.566,0.74901,2.23532,1.28925,0.25529,0.51201,0.31674,0.25986,0.76628,1.87437,1.50943,0.000251026,0.000251026,0.000251026
12,296.268,0.74327,2.17982,1.28182,0.3654,0.49455,0.3536,0.28294,0.77224,1.79348,1.50532,0.000244829,0.000244829,0.000244829
13,320.868,0.74248,2.13721,1.2827,0.3926,0.55843,0.36236,0.29779,0.74592,1.7673,1.47328,0.000238631,0.000238631,0.000238631
14,344.744,0.72694,2.05558,1.26125,0.35974,0.47329,0.34475,0.28479,0.73462,1.76567,1.45451,0.000232434,0.000232434,0.000232434
15,368.744,0.72231,2.03289,1.2588,0.42023,0.48919,0.35164,0.29092,0.74253,1.75254,1.46416,0.000226236,0.000226236,0.000226236
16,392.592,0.71581,1.97395,1.25221,0.31466,0.57862,0.40514,0.33604,0.73255,1.75456,1.47272,0.000220039,0.000220039,0.000220039
17,416.521,0.70385,1.95649,1.2415,0.3357,0.62159,0.41459,0.34289,0.72273,1.63825,1.43624,0.000213842,0.000213842,0.000213842
18,440.289,0.70496,1.92288,1.24573,0.43164,0.52849,0.42058,0.34855,0.70701,1.63861,1.44254,0.000207644,0.000207644,0.000207644
19,464.086,0.69721,1.90219,1.23973,0.37799,0.57851,0.44437,0.36277,0.76742,1.59377,1.48434,0.000201447,0.000201447,0.000201447
20,487.818,0.69909,1.86853,1.24466,0.32698,0.57491,0.40007,0.33395,0.71368,1.6975,1.42801,0.000195249,0.000195249,0.000195249
21,511.748,0.68599,1.83554,1.23439,0.34178,0.55022,0.44126,0.37037,0.70446,1.63124,1.41232,0.000189052,0.000189052,0.000189052
