epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,535.58,0.68031,1.80764,1.22836,0.35352,0.58248,0.4617,0.37868,0.70365,1.5807,1.417,0.000182855,0.000182855,0.000182855
23,559.316,0.68174,1.76211,1.21939,0.4132,0.60101,0.48713,0.39524,0.71588,1.52044,1.42032,0.000176657,0.000176657,0.000176657
24,583.16,0.67571,1.75025,1.21845,0.40728,0.65141,0.511,0.42645,0.69208,1.45187,1.38918,0.00017046,0.00017046,0.00017046
25,607.067,0.67677,1.70053,1.20689,0.53088,0.56587,0.56002,0.46317,0.69295,1.41464,1.39012,0.000164262,0.000164262,0.000164262
26,630.901,0.64557,1.6808,1.20293,0.44359,0.59422,0.4986,0.42171,0.67451,1.47697,1.37383,0.000158065,0.000158065,0.000158065
27,654.673,0.66132,1.66714,1.21117,0.47721,0.56867,0.55933,0.47407,0.66319,1.36036,1.36684,0.000151868,0.000151868,0.000151868
28,678.498,0.64751,1.64785,1.2015,0.4174,0.60697,0.55662,0.46454,0.69209,1.4299,1.39757,0.00014567,0.00014567,0.00014567
29,702.577,0.64597,1.58951,1.19453,0.47616,0.66222,0.603,0.50898,0.6589,1.27641,1.35376,0.000139473,0.000139473,0.000139473
30,726.661,0.62965,1.55259,1.19122,0.52184,0.61595,0.60899,0.51041,0.65983,1.33055,1.36866,0.000133275,0.000133275,0.000133275
31,750.371,0.63039,1.55247,1.18913,0.44107,0.72918,0.57451,0.47787,0.68784,1.3151,1.39124,0.000127078,0.000127078,0.000127078
32,774.158,0.63742,1.51347,1.19039,0.57764,0.60141,0.62754,0.53125,0.64667,1.22047,1.3403,0.000120881,0.000120881,0.000120881
33,797.948,0.62495,1.47332,1.17428,0.58313,0.6241,0.63846,0.53884,0.65473,1.20235,1.37387,0.000114683,0.000114683,0.000114683
34,821.902,0.62162,1.4582,1.17142,0.58614,0.6062,0.6368,0.53857,0.63939,1.22023,1.34667,0.000108486,0.000108486,0.000108486
35,845.758,0.61446,1.44504,1.17302,0.55406,0.662,0.64214,0.54677,0.64121,1.17009,1.34691,0.000102288,0.000102288,0.000102288
36,869.553,0.61204,1.43592,1.17413,0.4864,0.68817,0.63793,0.54439,0.63875,1.21393,1.33892,9.6091e-05,9.6091e-05,9.6091e-05
37,893.74,0.59064,1.37574,1.15434,0.58667,0.64975,0.68583,0.58076,0.63635,1.14723,1.33138,8.98936e-05,8.98936e-05,8.98936e-05
38,918.01,0.60536,1.39262,1.16884,0.63314,0.58793,0.67473,0.57142,0.67472,1.12261,1.36384,8.36962e-05,8.36962e-05,8.36962e-05
39,942.159,0.59795,1.3752,1.16202,0.57652,0.65698,0.6664,0.57633,0.61744,1.20765,1.31263,7.74988e-05,7.74988e-05,7.74988e-05
40,966.327,0.58873,1.3354,1.1485,0.57914,0.66115,0.69226,0.59894,0.61384,1.0935,1.32396,7.13014e-05,7.13014e-05,7.13014e-05
41,1001.41,0.46403,1.28076,1.15699,0.54201,0.70595,0.70097,0.59862,0.64027,1.1179,1.33968,6.5104e-05,6.5104e-05,6.5104e-05
42,1025.18,0.44528,1.1858,1.14775,0.60892,0.67146,0.72694,0.62588,0.61208,1.05111,1.31527,5.89066e-05,5.89066e-05,5.89066e-05
43,1048.92,0.43554,1.09462,1.12502,0.5571,0.74757,0.75452,0.65301,0.60709,0.98402,1.29873,5.27092e-05,5.27092e-05,5.27092e-05
44,1072.91,0.4337,1.07199,1.12541,0.52265,0.81901,0.75195,0.64831,0.61153,0.99305,1.31689,4.65118e-05,4.65118e-05,4.65118e-05
45,1096.64,0.4232,1.05172,1.12951,0.56358,0.80264,0.76151,0.66206,0.6063,0.95936,1.29632,4.03144e-05,4.03144e-05,4.03144e-05
46,1120.14,0.42215,1.00538,1.11389,0.65659,0.68276,0.75746,0.65709,0.60549,0.94771,1.29377,3.4117e-05,3.4117e-05,3.4117e-05
47,1143.8,0.41586,1.01207,1.11001,0.63929,0.73585,0.77912,0.67957,0.59301,0.92757,1.29274,2.79196e-05,2.79196e-05,2.79196e-05
48,1167.5,0.40526,0.94522,1.09196,0.69819,0.68414,0.77808,0.67893,0.59444,0.91997,1.28913,2.17222e-05,2.17222e-05,2.17222e-05
49,1191.09,0.40145,0.95104,1.09119,0.69351,0.72292,0.79161,0.69612,0.58717,0.89769,1.28029,1.55248e-05,1.55248e-05,1.55248e-05
50,1214.86,0.40341,0.92446,1.10077,0.61077,0.76147,0.79123,0.69346,0.58465,0.8943,1.27835,9.3274e-06,9.3274e-06,9.3274e-06
